Country,Structure,COFOG,Service,Initiative / Project / Application,Description,url,Organization,AI type,AI Use Type,Innovation type,Main Value Driver
Austria,National,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Chatbot Mona,"The new chatbot ""Mona"" is intended to cover all relevant questions for companies on the subject of the corona crisis and the economy. The service of the Federal Ministry for Digitization and Business Location (BMDW) is available online on the ""Unternehmens Service Portal"" (USP, Company service portal ) website and can also be used on mobile devices. The service can be found on the home page of the USP and is intended to provide companies with important information on essential points such as subsidies, labor law matters such as short-time work and teleworking in a simple way during these difficult times . On the one hand, users can ask freely formulated questions, on the other hand there is a classic information channel in which more detailed information is provided step by step on the three central topics of work, financial aspects and research at the click of a mouse.",https://www.usp.gv.at/Portal.Node/usp/public,"Unternehmensservice Portal, Austria","Chatbots, Intelligent Digital Assistants, Virtual Agents and Recommendation Systems",Public Services and engagement,Incremental / Technical Change,Inclusion
Belgium,Regional,Health,Family and children.,Project Verontrustingen ,"In 2014, the Flemish Agency for Child and Family (Kind en Gezin) developed an AI system which enables more accurate predictions to detect day-care services which require further inspection. These inspections enable the agencies to keep the quality of the day-care services high and to improve the wellbeing of children. The Child and Family agency does not carry out the inspections itself but works together with the Regional Health Care Inspection Unit of the Department of Welfare, Public Health and Family.  However, there is limited capacity available to conduct all the inspections. For a long period of time, there has been an interest to figure out how to optimise the inspection capacity. The use of data had been considered as way to enhance existing inspection practices and optimize the scarce amount of inspectors. The predictive system developed uses a supervised machine learning method (logistic regression and XGBoost) to analyse various internal and external data from the Health Care Inspection Unit. Combining the recommendations of the predictive system with existing staff experience and expertise enables more targeted and data-driven interventions. ",https://www.dialogic.nl/wp-content/uploads/2018/06/VTOM-Small-Kids-Big-Data-Frank-Bongers-mei-2018.pdf,"Kind en Gezin, Belgium","Predictive Analytics, Simulation and Data Visualisation",Enforcement,Transformative / Disruptive,Openness
Belgium,Regional,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Jobnet AI,"The Flemish Employment and Vocational Training Service (VDAB) is using AI since 2018 which assists in the reskilling, upskilling and retraining of people. The software is called Jobnet and is the combination of a variety of different AI-models into one big AI-model. With the AI, citizens can see which jobs are fitting to their skills, which relevant skills they still lack, starting from their own experience combined with job market data.",https://jobbereik.vdab.be,Vlaamse Dienst voor Arbeidsbemiddeling en Beroepsopleiding,"Predictive Analytics, Simulation and Data Visualisation",Public Services and engagement,Incremental / Technical Change,Performance
Bulgaria,Local,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Plovdic City Concierge Chatbot,"City Concierge is an AI-powered city chatbot like a virtual Tourist Office in the mobile. It is there for the visitors 24/7 in Messenger and provides information about the city Point of Interests pf the city. It is possible for tourists and visitors to search information by category and location, or by keyword, or simply ask question about restaurants, entertainment, sightseeing, shopping, transportation and other",https://umni.bg/en/plovdiv-city-concierge-chatbot/,UMNI,"Chatbots, Intelligent Digital Assistants, Virtual Agents and Recommendation Systems",Public Services and engagement,Incremental / Technical Change,Openness
Croatia,National,Health,Public health services.,Andrija,Andrija is a virtual assistant powered by artificial intelligence and has been developed by Croatian IT companies in cooperation with epidemiologists to advise people on how to diagnose and manage suspected COVID-19 infections. The digital assistant is available at https://andrija.ai/ and can be activated on WhatsApp under the name Andrija. ,https://andrija.ai/,Ministry of Health,"Chatbots, Intelligent Digital Assistants, Virtual Agents and Recommendation Systems",Public Services and engagement,Incremental / Technical Change,Inclusion
Croatia,Local,Health,Public health services.,Chatbot Hope,"The Chatbot Hope is used in the City of Vinkovci to inform citizens about the work of the Civil Protection Staff. The chatbot was created pro bono by the Slavonian company Hero Factory, which recently created a similar program for the Croatian Institute of Public Health. The Chatbot can answer questions related to coronavirus, the Civil Protection Staff, e-passes and check for symptons of the virus.",https://www.themayor.eu/en/a/view/coronavirus-chatbot-educates-the-citizens-of-vinkovci-4796,Vinkovci munipality,"Chatbots, Intelligent Digital Assistants, Virtual Agents and Recommendation Systems",Public Services and engagement,Organizational / Sustained Change,Inclusion
Denmark,National,Economic affairs,"General economic, commercial and labour affairs; agriculture, forestry; fishing and hunting; fuel and energy; mining, manufacturing and",Detection of errors in business statements,A project by the Danish Business Authority (Erhvervsstyrelsen) to use ML to identify fraud and highlight material errors in financial statements.,https://joinup.ec.europa.eu/sites/default/files/custom-page/attachment/2020-07/Study%20on%20public%20sector%20data%20strategies%2C%20policies%20and%20governance%20%E2%80%93%20ANNEX%20Case%20studies.pdf,Danish Business Authority,Security Analytics and Threat Intelligence,Enforcement,Incremental / Technical Change,Inclusion
Denmark,Local,Housing and community amenities,Water supply.,CHAIN Smart Water,Sensors analyse the water consumption in order to optimise energy consumption in Aarhus municipality. AI will be used to analyze the big amounts of data from sensors about water consumption and to monitor its quality. ,https://www.aquatechtrade.com/news/article/video-story-digital-denmark/,Aarhus Municipality,"Predictive Analytics, Simulation and Data Visualisation",Internal management,Incremental / Technical Change,Performance
Estonia,National,Economic affairs,"Agriculture, forestry, fishing and hunting",SATIKAS,"In the Estonian Agricultural Registers and Information Board (ARIB), AI is used in order to detect whether the agricultural grasslands have been mowed or not using image recognition. This system, called SATIKAS , uses deep learning methods and convolutional neural network approaches to analyse the satellite data coming from the European COPERNICUS programme to automatically detect whether mowing has taken place on the Estonian grasslands. The optical satellite images from Sentinel 1 and 2 are analysed together with reference data of farmer fields, historical inspection logs and meteorological data from the Estonian Weather Service. This AI system is now regarded as one of the first AI applications used by the government in Estonia. The SATIKAS system is still under development and will expand its features and capabilities in the near future. While at the moment the system is able to detect mowing of grass, in the future it will be used for identifying different types of crops and trees as well. ",https://kosmos.ut.ee/en/news/information-system-satikas-helps-detect-mowing-using-satellite-data,ARIB,Computer Vision and Identity Recognition,Enforcement,Transformative / Disruptive,Performance
Estonia,National,Social protection,Unemployment.,Predicting long term unemployment,"The Estonian Unemployment Insurance Fund uses profiling to identify the position that suits a job seeker the most. Based on machine-learning software, the solution assists people by suggesting job positions according to their qualifications. The application provides job seekers with better and more accurate suggestions on where they could work and offers customized recommendations on re-education and reskilling.",https://e-estonia.com/new-e-estonia-factsheet-national-ai-kratt-strategy/,Estoninan Unemployment Insurance Fund,"Chatbots, Intelligent Digital Assistants, Virtual Agents and Recommendation Systems",Public Services and engagement,Organizational / Sustained Change,Openness
